"type","lat","lng","id","zone","device","description"
"Point","40.41912438501767","-3.720757259425547","1044","m30","03FT08PM01","03FT08PM01"
"Point","40.40625218613425","-3.6644555502972693","3600","m30","PM30901","PM30901"
"Point","40.39072074256911","-3.709909897897507","3705","m30","PM41451","PM41451"
"Point","40.38455359059398","-3.7177406108389457","6823","m30","PM41453","PM41453"
"Point","40.42622997634381","-3.690109314408213","7033","city","1015","Pº Castellana S-N - Pl. Colon-Hermosilla"
"Point","40.41261901989566","-3.6698328225145693","3864","city","2009","Dr. Esquedo N-S - Samaria-Av. Nazaret (De Frente)"
"Point","40.4035666859012","-3.702294155334632","4237","city","14037","Moratines O-E - Martin Vargas-Embajadores"
"Point","40.46015518671523","-3.6707382729902482","5597","city","61090","Alfonso XIII O-E - Paraguay-Ricardo Calvo"
"Point","40.460173607686535","-3.6673406268653377","5586","city","61120","Acceso M-30 N-E(Superficie) - M-30 Norte-Pl.José MªSoler"
"Point","40.41699648176728","-3.6235124142032658","5967","city","45021","Pl. Alsacia - Malmoe-Hermanos García Noblejas"
"Point","40.417211376144614","-3.6237039236001163","5993","city","45049","Pl. Alsacia - Fuente Carrantona-Malmoe"
"Point","40.438901895335235","-3.6570522999732895","6371","city","59017","C/. Salvador de Madariaga - Esteban Mora-Verdaguer y García"
"Point","40.4430718172926","-3.6528133142065347","6375","city","59021","Av. Badajoz - Aristóteles-Torrelaguna"
"Point","40.4280030949674","-3.611093917079497","6398","city","64011","Av. Canillejas a Vicálvaro - Pobladura del Valle-Julia Garcia Boutan"
"Point","40.421422562205876","-3.6112839502420244","6419","city","64405","Av. Canillejas a Vicálvaro a Suecia - Aquitania-Av. Guadalajara"
"Point","40.41653440982201","-3.6278152605130556","3810","city","65027","AV. Daroca 106 O-E - Fco. Largo Caballeroo-Fuente Carranton"
"Point","40.37481904338093","-3.7731290006611773","5315","city","86012","RAFAEL FINAT N-S(GRAL.SALIQUET-AVIACION)"
"Point","40.440752744710984","-3.622819271049873","6511","city","71009","C/. San Romualdo - Albasanz-Alcalá  "
"Point","40.388222202806354","-3.731008167950232","5061","city","49035","OCA N-S(MATILDE FERNANDEZ-GRAL.RICARDOS)"
"Point","40.387548107032345","-3.7420953075903305","5119","city","51020","LAGUNA S-N(MU?OZ GRANDES-N.SRA.FATIMA)"
"Point","40.38952187297797","-3.766316125727168","3771","city","80006","POBLADOS E-O(GUARE?A-PADRE PIQUER)"
"Point","40.360897949852514","-3.7539507122664326","5238","city","84003","AV.CARABANCHEL ALTO S-N(M-40-AV.PESETA)"
"Point","40.36450783598121","-3.7610819942590163","5265","city","84030","P.SAN JOSE S-N(PARQUE GARAJONAI-JACOBEO)"
"Point","40.39663000690846","-3.7178435343147265","5280","city","85006","GRAL RICARDOS  O-E"
"Point","40.33245364116177","-3.713382687544555","5385","city","94001","R. PINTO SO-NE(LAG DALGA-LAG MARQUESADO)"
"Point","40.40547397060393","-3.7298360476116583","5015","city","95034","CARAMUEL S-N(AV.CAPRICHOS-PABLO SARASATE"
"Point","40.389219005662746","-3.740133371593969","5107","city","96053","PINZON  N-S (TUCAN-OCA)"
"Point","40.39617264793573","-3.77372683460049","5162","city","98031","CARAB-ARAVACA E-O(SEB.ALVARO-VILLAVICI.)"
"Point","40.447982941147544","-3.724154153753533","9933","city","29019","RAMIRO MAEZTU E-O(DIRECCISN NORTE)(MORERAS -AV.GREGORIO AMO)"
"Point","40.4368437927263","-3.7317980336849312","7073","city","30027","MARTMN FIERRO S-N(OBISPO TREJO - JUAN HERRERA)"
"Point","40.458540232016304","-3.7155550041487397","4508","city","31015","FRANCOS RODRIGUEZ O-E(PIRINEOS-POLICIA)"
"Point","40.45892724629081","-3.7166348557441955","4509","city","31016"," FRANCOS RODRIGUEZ E-O(COLEGIO PALOMA-DEHESA  VILLA)"
"Point","40.47900955539433","-3.7058886729357052","5419","city","43006","AV.MONFORTE DE LEMOS O-E(PL.ARTEIJO-GINZO DE LIMIA)"
"Point","40.47966310229102","-3.7029721062977137","5420","city","43008","AV.MONFORTE DE LEMOS E-O(FINISTERRE-GINZO DE LIMIA)"
